artist_name,artist_id,deezer_fans,deezer_rank,picture_url,deezer_link,top_track_name,top_track_rank,top_track_duration,genero
Folk Bitch Trio,158704702,1752,0,https://cdn-images.dzcdn.net/images/artist/c79a9aaa0a84ec4d792ceb7406e975fc/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/158704702,Hotel TV,366472,277,folk
Folknery,10542647,1701,0,https://cdn-images.dzcdn.net/images/artist/4af14d832e9f2d802df661547c1699ba/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/10542647,Karchata,286482,284,folk
Indiens d Amerique pour Relaxation et Méditation,3876771,1614,0,https://cdn-images.dzcdn.net/images/artist/72a709a86116eb7b9a91f580fa1e97fc/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/3876771,Flute Musique pour Détente,250839,153,indie
La República Rock Latino,8927936,1580,0,https://cdn-images.dzcdn.net/images/artist/c3a77969b109e4fdc00bdacc105147e4/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/8927936,N/A,0,0,rock latino
Génération Reggaeton,148320,1559,0,https://cdn-images.dzcdn.net/images/artist/9876a9646426df315225c3ae045ef994/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/148320,I'M Still In Love With You,176604,272,reggaeton
LoFi & Chill Electronica,215969815,1540,0,https://cdn-images.dzcdn.net/images/artist/1408d952b6a9e45cd40faaacdb441a6d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/215969815,Riptide Waves,125171,202,electrónica
Salsa & Merengue,242237921,1422,0,https://cdn-images.dzcdn.net/images/artist/e2de57b9aa3c420e80fc6469b5f40595/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/242237921,Bailongo,37094,182,salsa
Rocazino,133196,1383,0,https://cdn-images.dzcdn.net/images/artist/f12917a78aacfbdfdcd28b4f73317f2e/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/133196,All My Love,359799,214,rock latino
Open Road Folk Music,150079312,1258,0,https://cdn-images.dzcdn.net/images/artist/2b411a5aab53133eb4d0aab1a6c4e536/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/150079312,November Autumn Frost,68584,192,folk
Volker Kutscher,6593520,1153,0,https://cdn-images.dzcdn.net/images/artist/8721c0ae394b1e4cee7380fcec6981b7/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/6593520,N/A,0,0,folk
Reggaeton Club,148734,1131,0,https://cdn-images.dzcdn.net/images/artist/8a31df58fc23d195e8d05a3a109ac5a9/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/148734,Dile,162003,207,reggaeton
Reggaeton & Hip Hop Instrumentals Pistas,1255413,1067,0,https://cdn-images.dzcdn.net/images/artist/8fab15d954e966e12d1aeebf1420ee42/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1255413,N/A,0,0,reggaeton
Salsa Baul,109163382,1066,0,https://cdn-images.dzcdn.net/images/artist/5f9a4cc5938f4099f57696c3bd1ac49e/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/109163382,Sabatina Limpia,64414,224,salsa
Banda Reggaeton,459177,990,0,https://cdn-images.dzcdn.net/images/artist/dfc1e56f05a1e5cd4715a5e93ba62ec3/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/459177,Sigue Bailando Mi Amor,72984,199,reggaeton
Folk Road Show,11072056,949,0,https://cdn-images.dzcdn.net/images/artist/07e4eaf13cabd443bbd08ae2eca6482a/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/11072056,Something in the Water,422858,198,folk
Electronicat,3765,931,0,https://cdn-images.dzcdn.net/images/artist/85e92c2adab181c507d36044a87deb2c/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/3765,Flesh + Acessoires,26876,310,electrónica
Reggaeton G.,254361,919,0,https://cdn-images.dzcdn.net/images/artist/f923e8a656ca8d6a5f74f235f5cd1c7d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/254361,Enamórame,193238,263,reggaeton
Reggaeton Band,156582,812,0,https://cdn-images.dzcdn.net/images/artist/d925b1a48ca83c1c1de957fc4907cdca/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/156582,La Gasolina,358713,257,reggaeton
Sergio George's Salsa Giants,4806245,791,0,https://cdn-images.dzcdn.net/images/artist/15ff022a5146e71886ed857551f8e23a/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/4806245,Bajo la Tormenta,391754,270,salsa
Georgian Folk,70642132,758,0,https://cdn-images.dzcdn.net/images/artist/735c277db21efa687678dfcd57880da3/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/70642132,Acharuli Gandagana,544575,113,folk
Reggaeton Acústico,13231461,633,0,https://cdn-images.dzcdn.net/images/artist/532cab5c51677e9b0f4540af8b2cd16e/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/13231461,Escápate Conmigo (Cover Acustico),33443,234,reggaeton
Population II,106460692,605,0,https://cdn-images.dzcdn.net/images/artist/74f447ae0a9a4d86c6510462440bd1ea/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/106460692,N/A,0,0,pop latino
Electronica House Beat,223761835,592,0,https://cdn-images.dzcdn.net/images/artist/3b56758434eab956c5face26d09ebb6f/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/223761835,Entrenamiento,113942,132,electrónica
Latin Pop Heroes,4899164,577,0,https://cdn-images.dzcdn.net/images/artist/f236084cb93dfa827ae95381f342445c/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/4899164,Charlie Brown,196069,227,pop latino
Gunda Merced Y Su Salsa Fever,49819962,557,0,https://cdn-images.dzcdn.net/images/artist/4fa60448737e66d5f341aa054dcdfc43/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/49819962,Feliz Me Siento,359543,332,salsa
Urbano,992925,548,0,https://cdn-images.dzcdn.net/images/artist/cc657dcb6e23adbd6f8386556e8777a5/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/992925,Listen To Your Heart,214603,140,urbano
Luifer de la Salsa,554708,547,0,https://cdn-images.dzcdn.net/images/artist/114b388cbc9a9c69a8ae4b46b5cef3a7/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/554708,Solamente Tú,138276,255,salsa
Musica Electronica Dance,230402745,545,0,https://cdn-images.dzcdn.net/images/artist/49cbe822c2d9efc250f3bdade631d452/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/230402745,Música para Superar tus Límites,101493,193,electrónica
Fanfara Electronica,9155542,544,0,https://cdn-images.dzcdn.net/images/artist/ffae1e419434c9ecc96862d2cb8e8e33/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/9155542,Funky Indian,7800,235,electrónica
Folk,517660,465,0,https://cdn-images.dzcdn.net/images/artist/c2e6d47159a087358bd44e7a7d2023e7/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/517660,N/A,0,0,folk
The Folks,3152461,420,0,https://cdn-images.dzcdn.net/images/artist/fdaed74d0f852db228982fe0bd25b893/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/3152461,My October,296035,124,folk
Pop Latino,10258266,396,0,https://cdn-images.dzcdn.net/images/artist//1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/10258266,N/A,0,0,pop latino
Baila Electronica,1310565,386,0,https://cdn-images.dzcdn.net/images/artist/065f865a611c89f76d26612d9a83f55e/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1310565,Go Ahead,33353,277,electrónica
Palatino,214767,322,0,https://cdn-images.dzcdn.net/images/artist/1a2e0409d25b3f0127210e7027178af5/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/214767,N/A,0,0,pop latino
Rock Nation,403741,304,0,https://cdn-images.dzcdn.net/images/artist/091a2a67c720007bd508c7a82bc88cba/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/403741,N/A,0,0,rock latino
Population 1,147857,295,0,https://cdn-images.dzcdn.net/images/artist/47ea620b74dc4d98c4cc65ca8a0fdc16/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/147857,N/A,0,0,pop latino
Indie Rock Hits,11803245,280,0,https://cdn-images.dzcdn.net/images/artist/dbad37a97c27c91fa0743745271bca60/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/11803245,Say Something,150622,230,indie
Kings of the Reggaeton,4186453,280,0,https://cdn-images.dzcdn.net/images/artist//1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/4186453,N/A,0,0,reggaeton
Indie Anthony,68744362,247,0,https://cdn-images.dzcdn.net/images/artist/8c4aadbb5925a7f290ba73fe154fbb15/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/68744362,N/A,0,0,indie
Velvet Salsa All Stars,1235853,241,0,https://cdn-images.dzcdn.net/images/artist/b57e67005502a80f08304e4de2e28db0/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1235853,Sandra Mora,292438,254,salsa
Musica Electronica Para Entrenar,230261735,230,0,https://cdn-images.dzcdn.net/images/artist/09f39741324eb4f9df1ba86522ce879c/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/230261735,Ritmos para Ejercicios Extremos,77041,173,electrónica
E.T.O. (Electronica Techno Orchestra),890349,226,0,https://cdn-images.dzcdn.net/images/artist/67352bc9b5966a783d687a31859eaba4/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/890349,The Marrige Of Figaro (as made famous by Mozart),6583,212,electrónica
Kali,64257962,218,0,https://cdn-images.dzcdn.net/images/artist/a224d6bc9d1961f3fb164e2e81b3e95a/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/64257962,N/A,0,0,indie
De Electronica's,1481095,203,0,https://cdn-images.dzcdn.net/images/artist/f317166addb0021584ea14d6578c346d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1481095,N/A,0,0,electrónica
Trap House Latino,199643177,203,0,https://cdn-images.dzcdn.net/images/artist/eef17dc5f5d52671f4f850dddcd80c07/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/199643177,Godfellas,73446,160,trap latino
Salsa Camará Instrumental,49128241,190,0,https://cdn-images.dzcdn.net/images/artist/e60667f39308460fc312167cf3e89c65/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/49128241,"Oh, Qué Será ?",77102,319,salsa
Folk & Røvere,1226392,174,0,https://cdn-images.dzcdn.net/images/artist/4301bb6cdadd26fa79dc643abe6339ad/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1226392,N/A,0,0,folk
